complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid,label
21-0273,2021-06-03 04:00:00+00,1900.0,LACK OF SERVICE,"According to the complainant, on 5-29-21 at 10:45 AM, while in the confines of the 19th District, they allege a lack of service and false arrest by 19th District officers, a sergeant, and a lack of service by a detective assigned to Southwest Detective Division. Officers arrived after a shooting incident and would not listen to the complainant about the incident. The complainant asked for a supervisor. A sergeant arrived and acted annoyed when the complainant identified themselves as a retired sergeant and began to explain what had occurred. The sergeant summoned officers to arrest the complainants family member. When the complainant attempted to tell the sergeant about video evidence, the sergeant made a statement about being active and the complainant being retired. The sergeant arrested their cousin without proper evidence or witness statements. The complainant went to Southwest Detective Division on their own accord. Once there, they had to use the restroom but were refused by the detective.",05/29/2021,10:45 AM,6143,high
21-0274,2021-06-03 04:00:00+00,1900.0,HARASSMENT,"According to the complainant, while in the 19th District, they have been repeatedly harassed by an officer, who is their neighborÂ¿s family member. The complainant has had various verbal disagreements over the music they play in their house and about cones they put in front of their home to hold a parking spot. The complainant states that the officer has removed the cones and thrown them around the corner. The officer has also threatened to ticket the complainant.",,,6144,high
21-0275,2021-06-03 04:00:00+00,2400.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-1-21 at 8:00 PM, while in the confines of the 24th District, they were stopped by police. The complainant states that an officer walked up to the car with a nasty and unprofessional attitude. When the complainant asked the officer why they were being stopped, the officer refused to answer. The complainant states the officer threatened to arrest them if they did not provide them with the vehicles paperwork. The complainant called 911 for a supervisor. The complainant states that the responding supervisor explained everything to them. One of the complainantÂ¿s passengers observed an officer smoking inside of the patrol car, they told the officer that they were not allowed to do that. At that time, another officer responded by saying that they can because of their race. The complainant also states that an officer laughed at them when they were told that their vehicle was being towed, then handed them a roll of tickets.",06/01/2021,8:00 PM,6145,medium
21-0276,2021-06-03 04:00:00+00,3500.0,LACK OF SERVICE,"According to the complainant, on 5-17-21 at 5:35 PM, while in the confines of the 35th District, they did not receive proper service. The complainant was arrested. At that time, the complainant asked the officers if they could call someone to take care of a child left at their home. The officers refused to allow them to make the call. The complainant asked the officers if they could make a report against the other party involved, but was also refused.",05/17/2021,5:35 PM,6146,low
21-0277,2021-06-03 04:00:00+00,600.0,HARASSMENT,"According to the complainant, on 6-2-21 at 9:50 AM, while in the confines 6th District, their vehicle was ticketed for legally parking (Zone 10 Permit Parking). The complainant was issued three parking tickets; the first two were thrown out or pulled before going to the Parking Authority. The complainant was issued a third parking ticket and was told that the issuing officer refused to pull the ticket. The complainant feels that they are being retaliated against because of a previous lawsuit, a pending lawsuit and complaints against police that they have made in the past.",06/02/2021,9:50 AM,6147,high
21-0278,2021-06-07 04:00:00+00,300.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-21-21 at 11:00 PM, while in the confines of the 3rd District, they did not receive proper service and departmental policies were violated by an unknown officer. The complainant noticed officers standing around barricades on a corner. The street was blocked off while individuals on motorcycles and motorbikes drove around, doing wheelies for about an hour. The complainant states that they witnessed and have video evidence, of an officerÂ¿s interaction with one of the individuals. The officer said, Â¿Can you do wheelies on a different block so that my supervisor doesnÂ¿t get on my case?Â¿ The officer proceeded to shake the hand of the individual. The individual did a few more wheelies and left the location.",05/21/2021,11:00 PM,6148,medium
21-0279,2021-06-07 04:00:00+00,1600.0,LACK OF SERVICE,"According to the complainant, on 5-30-21 at 3:30 PM, while in the confines of the 16th District, they did not receive proper service from unknown officers. The complainant called 911 to report a theft from auto. An officer responded and took the report. The complainant states that one of the items stolen was an iPad. The complainant states that when they tracked the iPad, they called the police department to inform them of the location. An officer told them not to keep their hopes up. The complainant states that no one ever called them back to let them know the outcome or if they even attempted to locate the complainants property.",05/30/2021,3:30 PM,6149,low
21-0280,2021-06-08 04:00:00+00,,LACK OF SERVICE,"According to the complainant, since 2018, while in the confines of the 15th District, they did not receive proper service from unknown officers. The complainant states that they have attempted, on numerous occasions, to report several crimes from numerous locations. The complainant states that officers do not take the crimes they report seriously.",,,6150,low
21-0281,2021-06-08 04:00:00+00,1700.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-2-21 at 3:52 PM, their vehicle was stopped by police while their client was driving it, in the area of Broad and Federal Streets. The complainant states that the officers approached the vehicle with their hands on their guns, scaring the driver. The officers made rude comments to the driver about issuing them tickets that are going to Â¿eat their a** up,Â¿ meaning that they were deliberately going to issue them expensive tickets. The complainant also states that the ticket was incorrectly written.",06/02/2021,3:52 PM,6151,high
21-0282,2021-06-09 04:00:00+00,2500.0,PHYSICAL ABUSE,"According to the complainant, on 6-4-21 at 1:00 AM, while in the confines of the 25th District, they were physically abused and departmental policies were violated by unknown 24th / 25th District officers. Officers responded over a domestic dispute. The complainant states that they were Â¿man handledÂ¿ and slammed onto their porch by officers. One of the officers placed their knee into their back. The complainant states that their body is sore as a result. The complainant states that they were arrested for no reason and officers failed to call for another officer to respond.",06/04/2021,1:00 AM,6152,high
21-0283,2021-06-10 04:00:00+00,3500.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-7-21 at 2:30 PM, while in the confines of the 35th District, their minor child was improperly searched and detained by unknown officers. The complainant states that their child was approached by officers while sitting in a vehicle with their sibling. The complainant states that a black vehicle pulled up next to the vehicle and said that they would not do anything to them because of the other people in the car. The officer told the complainantÂ¿s child to exit the vehicle. The complainant states that their child exited the driverÂ¿s side of the vehicle and was placed in handcuffs. Another officer told the other passengers to exit the vehicle. At that time, officers proceeded to go through their bags.",06/07/2021,2:30 PM,6153,medium
21-0285,2021-06-10 04:00:00+00,3900.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-8-21 at 12:29 AM, while in the confines of the 25th District, they were approached by officers who asked if they could search their vehicle. The complainant refused. A K-9 unit arrived and they were placed in the back of a patrol car. A sergeant told the complainant that the canine hit on their vehicle and that it will be towed for a search warrant. The complainant was released at the scene. Later, the complainant noticed the vehicle parked at the same location, with no patrol car guarding it. The complainant went to the district to inquire about their vehicle and was told to come back at 6:00 PM. The complainant called a locksmith and took their vehicle. The complainant states that during the initial stop, their keys were taken by police and not returned. On 6-8-21 at 5:55 PM, an officer walked into the district and joked about taking the complainantÂ¿s keys.",06/08/2021,12:29 AM,6155,medium
21-0286,2021-06-10 04:00:00+00,2500.0,HARASSMENT,"According to the complainant, on 6-6-21, while in the confines of the 25th District, they were harassed by their neighbor, an off-duty police officer. The complainant states that ever since they shared information about their bank accounts with their neighbor, an off-duty officer, strange things have been happening to them. The complainant also stated that the off-duty officer took pictures and videotaped them, which made them feel uncomfortable.",06/06/2021,,6156,high
21-0287,2021-06-11 04:00:00+00,300.0,LACK OF SERVICE,"According to the complainant, on 6-6-21 at 8:30 AM, while at 1326 Jackson Street, they called 911 due to a confrontation they were having with their violent roommate and police never responded.",06/06/2021,8:30 AM,6157,low
21-0288,2021-06-10 04:00:00+00,2500.0,PHYSICAL ABUSE,"According to the complainant, on 12-7-20, they were physically abused and departmental policies were violated by an officer. The complainant states that they were stopped by police, while in the confines of the 25th District. An officer searched the complainantÂ¿s pockets, without their permission. The officer pushed the complainant against a concrete wall and threatened to tazer them.",12/07/2020,,6158,high
21-0289,2021-06-11 04:00:00+00,1700.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-3-21 at 2:30 PM, while in the confines of the 17th District, they did not receive proper service and were falsely arrested by a detective assigned to South Detective Division. The detective called the complainant and told them that they had a warrant for their arrest. The complainant states that the detective failed to properly investigate an incident which led to their false arrest.",02/03/2021,2:30 PM,6159,medium
21-0290,2021-06-14 04:00:00+00,1500.0,LACK OF SERVICE,"According to the complainant, on 6-8-21 at 5:24 PM, while in the confines of the 15th District, they did not receive proper service from two 15th District officers. The complainant states that a drunk driver struck a vehicle that is assigned to their establishment. When the police arrived, the owner told the officers that the driver was intoxicated. The operator was not arrested or cited, but rather, the officers offered the operator a ride home. When they asked the officers why they would not be arrested, the officers stated that they did not see them drinking. The complainant states that they did not receive any information in regards to the operator of the striking vehicle.",06/08/2021,5:24 PM,6160,high
21-0291,2021-06-14 04:00:00+00,1500.0,LACK OF SERVICE,"According to the complainant, on 6-7-21 at 1:00 AM, while in the confines of the 8th District, they did not receive proper service and were treated unprofessionally by a supervisor and two officers. Officers responded after the complainant found their neighbor in their apartment. The complainant states the neighbor assaulted them, destroyed their home and stole some of their property. The officers that responded to the complainants 911 call, acted as if it wasnÂ¿t a big deal, told them that is was a domestic dispute and advised them to get a Protection from Abuse Order. A short while later, the fire alarm went off inside of their building. The same officers responded, along with the fire department. The complainant overheard the officers talking about the previous call. The officers were laughing and saying that the complainant is crazy. At 9:30 AM, the complainant called 911 and requested a supervisor. A supervisor arrived and acted as if they did not care about their complaint.",06/07/2021,1:00 AM,6161,low
21-0292,2021-06-14 04:00:00+00,3500.0,LACK OF SERVICE,"According to the complainant, on 8-3-19 at 4:30 PM, while in the confines of the 35th District, they did not receive proper service from a detective assigned to Northwest Detective Division. The complainant was the victim of a fraud that she reported to police. The complainant states that they provided all of the information needed to the assigned detective to investigate the matter. The detective told the complainant that they do not have a valid complaint. The complainant states that the detective has done nothing to investigate the matter and will not return their calls.",08/03/2019,4:30 PM,6162,low
21-0293,2021-06-14 04:00:00+00,200.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-3-21 at 8:00 PM, an off-duty officer assigned to the 19th District acted unprofessionally and vandalized their property while in the confines of the 2nd District. On 4-13-13, the officer signed a lease agreement to rent their property. The officer wrote on the lease that they are a police officer and will take care of the property as if it was their own. The officer caused several thousands of dollars worth of damage to the property and refuses to pay for any of it. The complainant has photos and documentation.",02/03/2021,8:00 PM,6163,medium
21-0294,2021-06-14 04:00:00+00,1800.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-10-21 at 5:23 PM, while in the confines of the 18th District, they were improperly stopped and ticketed by a supervisor assigned to the 18th District. The complainant attempted to drive around a vehicle that was stopped in the middle of the highway when they were approached by a supervisor. The supervisor walked up to the complainantÂ¿s vehicle and asked them what they were doing. The complainant told the supervisor that they did not see them and they did not need to get smart. The supervisor told them to back up and to stop next time. As the complainant backed up their vehicle, they called the supervisor a clown. The supervisor then stopped the complainant and issued them multiple traffic citations. The complainant states that they were only issued the citations because they called the supervisor a clown.",06/10/2021,5:23 PM,6164,medium
21-0295,2021-06-14 04:00:00+00,1500.0,CRIMINAL ALLEGATION,"According to the complainant, on 6-10-21 at 3:03 PM, while in the confines of the 15th District, an off-duty officer told them to get off their property or they were going to shoot them in the head.",06/10/2021,3:03 PM,6165,high
21-0296,2021-06-15 04:00:00+00,1900.0,CRIMINAL ALLEGATION,"According to the complainant, on 6-5-21 at 11:30 PM, while in the confines of the 19th District, officers broke down their door without showing them a warrant. The complainant states that one of the officers cursed at them repeatedly. The complainant also states that they are missing money from their safe.",06/05/2021,11:30 PM,6166,high
23-0155,2023-04-19 04:00:00+00,3900.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-15-23 at 7:15 PM, while in the confines of the 39th District, they were falsely stopped and detained by unknown officers. They were pulled over by police for no reason. The officers placed them in the back of a patrol car and searched their vehicle without permission.",04/15/2023,7:15 PM,7264,medium
21-0297,2021-06-15 04:00:00+00,3500.0,LACK OF SERVICE,"According to the complainant, on 5-8-21 at 9:00 PM, while in the confines of the 35th District, they called 911 to request a wellbeing check on a family member. The complainant states that the officers treated them like a criminal. The complainant states that officers did not knock on the door, even after they informed them, that there were firearms in the house along with people who smoke pot and have small children living there with them.",05/08/2021,9:00 PM,6167,low
21-0298,2021-06-18 04:00:00+00,300.0,FALSIFICATION,"According to the complainant, on 3-21-21 at 10:02 AM, while in the confines of the 3rd District, an officer assigned to the 3rd District falsified a report. Officers responded to a domestic dispute. The complainant states that they were handcuffed and arrested, but never told the reason for the arrest. Once released, the complainant noticed that the officer falsified the police report by writing that their significant other had visible marks on them.",03/21/2021,10:02 AM,6168,medium
21-0299,2021-06-22 04:00:00+00,800.0,LACK OF SERVICE,"According to the complainant, on 6-14-21 at 7:30 PM, while in the confines of the 8th District, they did not receive proper service from an unknown officer. The complainant attempted to file a theft report from the prior day. The complainant called 911; an officer, along with a security guard were on location. The complainant asked the officer if they could make a report. The officer told the complainant it was up to the security guard to review the footage but the security guard refused. The complainant states that they went to the parking lot to wait for another officer. The complainant states that an officer approached them, issued them a citation and refused to take their report.",06/14/2021,7:30 PM,6169,low
21-0300,2021-06-23 04:00:00+00,900.0,VERBAL ABUSE,"According to the complainant, on 6-11-21 at 2:30 PM, while in the confines of the 9th District, they were stopped by two officers. The complainant states that one of the officers yelled at them and asked why they were being difficult. The officer also said that the complainant needs to respect them and because they are police officers, they can do whatever they want. The complainant states that the officer tried to slam the door on their foot.",06/11/2021,2:30 PM,6170,medium
21-0301,2021-06-23 04:00:00+00,1200.0,OTHER MISCONDUCT,"According to the complainant, on 6-17-21 at 10:46 AM, while traveling in the area of Island and Buist Avenues, their vehicle was struck by another vehicle that then left the scene. The complainant states they followed the other vehicle and managed to eventually stop it and speak to the driver. When the complainant asked the driver why didnÂ¿t they stop, they responded by saying, Â¿I am a cop on my way to work,Â¿ but failed to provide a badge when asked. The off-duty officer provided the complainant with their registration only. Another vehicle later arrived and the driver of that vehicle informed the complainant that they are related to the driver that struck them and provided the complainant with a business card for an auto body shop. The complainant reported this incident to police the next day and stated that they were going to seek medical treatment for pain to their back.",06/17/2021,10:46 AM,6171,low
21-0302,2021-06-21 04:00:00+00,600.0,LACK OF SERVICE,"According to the complainant, on 6-19-21 at 1:45 AM, while in the confines of the 6th District, they went to the district to report a hit and run accident. While at the district, the complainant was told by an officer that since no one was injured in the accident, the cops do not have to do anything and that she would have to go through her insurance company. The complainant states that the officer did not take their report but instead gave them paperwork to file an auto accident with the Department of Motor Vehicles.",06/19/2021,1:45 AM,6172,low
21-0303,2021-06-22 04:00:00+00,200.0,VERBAL ABUSE,"According to the complainant, on 6-21-21 at 11:22 AM, they arrived at the 2nd District to report an ongoing neighbor dispute. When the complainant approached the window at the district, they were told to wait a minute; the complainant waited. Ten minutes later, the complainant walked back up to the window and explained to the officer why they were there. Afterwards, the officer gave the complainant a paper and said, Â¿HereÂ¿s your report with DC # now be on your wayÂ¿. When the complainant asked the officer what was their issue with them, the officer said, Â¿I didnÂ¿t have to do anything for you today, I could have just done nothing, but IÂ¿m giving you your report.Â¿",06/21/2021,11:22 AM,6173,medium
21-0304,2021-06-23 04:00:00+00,1400.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-21-21 at 7:21 PM, while in the 14th District, police followed them for about two blocks before they were pulled over. The complainant states that after the officer ran their information, they returned to the car and asked if they could search the car. When the complainant denied the officers request, the officer told the complainant that they had to sit in the back of the patrol car while the officer searched their vehicle, due to having been denied a license to carry.",06/21/2021,7:21 PM,6174,medium
21-0305,2021-06-24 04:00:00+00,3900.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-19-21 at 10:30 PM, while in the confines of the 39th District, they were stopped by police. The complainant states that when they recognized the officer from a previous encounter, they felt uncomfortable and therefore, requested a supervisor. When a sergeant arrived, the complainant realized that the sergeant was involved in their previous arrest. The complainant states when they refused to a search, the sergeant forcefully tried to place them in the back of the patrol car. The complainant states that they were then forced to sit on the ground. The complainant states that they argued with the sergeant. The complainant alleges that the sergeant walked to the other side of the patrol car and urinated, covering them in urine. The complainant later realized they were covered in urine. The complainant states that their vehicle was searched without their permission.",06/19/2021,10:30 PM,6175,medium
21-0306,2021-06-23 04:00:00+00,1800.0,HARASSMENT,"According to the complainant, on 4-5-21, one of their clients was arrested and their vehicle confiscated by officers assigned to the 18th District. During the same month, while their client was still in custody, officers requested the vehicle to be towed. Subsequently the vehicle was towed and later destroyed. The complainant states that on another occasion officers lied to the Commonwealth about their client disobeying traffic laws while operating the vehicle that was previously confiscated. The complainant also states that the police department alleges that their clients are members of a gang, without any supporting evidence, causing it to be a driving force in court proceedings. The complainant alleges 18th District officers have harassed their clients on several occasions.",04/05/2021,,6176,high
21-0307,2021-06-25 04:00:00+00,1700.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-21-21 at 5:30 AM, while waiting in their vehicle in front of a senior housing facility, a patrol car pulled into the lot, facing their vehicle. The officer flashed a spotlight at them and began moving the patrol car forward, forcing them to back up, until they could not move anymore. The complainant beeped at the officer to stop before they struck the vehicle. The complainant states that a short time later a witness went to the location and found the patrol car parked unattended, still running. It was also reported that that the officer is always parked for hours at the housing unit and that they are dating an employee that works there.",06/21/2021,5:30 AM,6177,medium
21-0308,2021-06-25 04:00:00+00,1500.0,LACK OF SERVICE,"According to the complainant, on 6-17-21 at 12:00 PM, while in the confines of the 15th District, a family member was found deceased. The complainant called the assigned detective to report some information about their family members death but was met with judgement because of the family members past. The complainant states that the detective told them that they would have disowned the family member if they were the complainant. The complainant is alleging that they have information that a person, known to their family member, gave them a pill laced with Fentanyl that resulted in their death. The complainant states that they do not believe the detective is handling the case properly due their family members jaded past.",06/17/2021,12:00 PM,6178,low
21-0309,2021-06-25 04:00:00+00,2400.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-10-21 at 3:30 PM, a family member was shot, while in the confines of the 24th District. The complainant states that a few bike cops were notified and tried to place the family member in a patrol car in order to rush them to the hospital. The complainant states the officer operating the patrol car did not allow the bike cops to place their family member in the car because they did not want their family members blood in the car. The complainant states that they were later told by a supervisor of the homicide unit that there was a dog inside of the car, but after asking several witnesses the complainant learned that was not true.",05/10/2021,3:30 PM,6179,medium
21-0310,2021-06-28 04:00:00+00,500.0,CRIMINAL ALLEGATION,"According to the complainant, on an unspecified date and time, while in the 5th District, their pet was injured, when officers and paramedics entered their home to check on their well-being. The complainantÂ¿s pet sustained several missing teeth.",,,6180,high
21-0311,2021-06-28 04:00:00+00,1800.0,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 6-24-21 at 7:30 PM, while in the confines of the 18th District, they were in a parking lot, talking to a supervisor, when they were improperly issued a ticket by an officer. The complainants state that the officer pulled up to them and made a remark about their gender, when ordering them to move. The complainants state that the officer improperly ticketed them because of their gender, even after the supervisor told the officer not to issue the ticket.",06/24/2021,7:30 PM,6181,medium
21-0312,2021-06-28 04:00:00+00,2500.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-30-21 at 11:00 AM, while in the confines of the 25th District, they reported to police that their vehicle was stolen. On June 21, 2021, they received a letter stating that their vehicle was recovered and towed on June 13, 2021. When the complainant went to reclaim the vehicle, on 6-25-21, they were charged for towing and ten days of storage fees, before being notified that the vehicle had even been found.",01/30/2021,11:00 AM,6182,medium
21-0313,2021-06-29 04:00:00+00,700.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-23-21 at 12:30 PM, while in the confines of the 7th District, their spouse received a greeting card from an officer, who is the ex of their spouse. The complainant states that they have not had any interaction with the officer in 14 years but believes that since they were recently married, the officer somehow found out where they live. The complainant is concerned that the officer obtained their address by running their tags. The complainant also states that their vehicle was vandalized about a month ago and that some of their neighbors have complained about strange vehicles cruising through their street at night.",06/23/2021,12:30 PM,6183,medium
21-0314,2021-06-30 04:00:00+00,600.0,HARASSMENT,"According to the complainant, their significant other ended an affair with a police dispatcher, since that time, the civilian has made numerous phone calls to them and other family members. The complainant states that the civilian has called an underage family memberÂ¿s phone and left a voicemail. The complainant believes that the civilian is using the police system to access personal information about them along with other members of their family.",,,6184,high
21-0315,2021-06-30 04:00:00+00,1200.0,LACK OF SERVICE,"According to the complainant, on 6-20-21 at 7:00 PM, their family member was the victim of an assault and thereafter called another family member to assist in retrieving belongings from the home of their abuser. Later, the complainant states that while their family members where in the confines of the 12th District, they were assaulted by the same individual but managed to get away and call 911. When police arrived, they told the complainantÂ¿s family that there was nothing they could do and advised them to go back to the scene and call 911 from there. One of the complainantÂ¿s family members had visible injuries. The complainant further states that on Tuesday morning another one of their family members was found murdered in their driveway, in another jurisdiction, and feels that the same individual that they were assaulted by previously had something to do with it; they feel that if police had taken more action their family member would be alive.",06/20/2021,7:00 PM,6185,low
21-0316,2021-06-30 04:00:00+00,1900.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-24-21 at 12:00 PM, while in the confines of the 19th District, they were involved in an auto accident. The complainant sates that one of the responding officers was rude and stated that they were doing them a favor by taking the report. The officer told the complainant that they would lie on the report by not including the damages to their vehicle. The complainant states that the officerÂ¿s partner acted professionally and assured them that the damage would be noted on the report.",06/24/2021,12:00 PM,6186,medium
21-0317,2021-07-01 04:00:00+00,1800.0,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-1-21 at 6:10 PM, while in the confines of the 18th District, they were stopped by police. The complainant asked one of the officers why they were pulled over and the officer responded by telling them that they did not have to tell them why and that they had to identify themselves. The complainant states that during this car stop, one of the officers yelled at them. The complainant also states that they are disappointed in the way both officers handled the traffic stop and feels that the only reason they were pulled over is because of their race.",06/01/2021,6:10 PM,6187,low
21-0318,2021-06-30 04:00:00+00,900.0,PHYSICAL ABUSE,"According to the complainant, on 5-25-21 at 7:15 PM, while in the confines of the 9th District, store management called 911 to have them removed because they refused to wear a mask. The complainant informed the management that they had a medial waiver but they still called police. When officers arrived, one of them escorted the complainant out of the store and bruised their arm in the process. The complainant was then falsely arrested by another officer.",05/25/2021,7:15 PM,6188,high
21-0319,2021-07-01 04:00:00+00,2200.0,VERBAL ABUSE,"According to the complainant, on 6-25-21 at 8:00 PM, while in the confines of the 22nd District, they doubled parked in front of a store and as they were about to pull out, a patrol car pulled up on their bumper. The officer told the complainant that they were facing the wrong way and that they had to move. The complainant states that when they attempted to explain to the officer that they needed to use the bathroom and that the officer had blocked them, the officer said that they were not a having a conversation. The complainant states that they do not know why the officer was so verbally abusive and aggressive with them.",06/25/2021,8:00 PM,6189,medium
21-0320,2021-07-01 04:00:00+00,1800.0,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-29-21 at 8:28 PM, while in the confines of the 18th District, they were improperly stopped and ticketed by an officer. When the complainant asked the officer the reason for the stop, the officer told the complainant it was because of the tint on their windshield. The complainant states that they do not have tint on their windshield and the reason for the stop was because of their race. The complainant also states that when they asked for a supervisor, they were ignored.",06/29/2021,8:28 PM,6190,low
21-0321,2021-07-01 04:00:00+00,500.0,LACK OF SERVICE,"According to the complainant, on 6-16-21 at 7:45 PM, while in the confines of the 5th District, they were falsely accused of trying to break into their neighborsÂ¿ home. The complainant states that they were banging on their door because of the all the noise that was coming from the home. The complainant states that they asked the officers twice if they could investigate further and to at least talk to the neighbors across the street, who witnessed everything, they refused. The officers told the complainant that they were getting a police report, and then took their name and info for no reason.",06/16/2021,7:45 PM,6191,low
21-0322,2021-07-06 04:00:00+00,1400.0,LACK OF SERVICE,"According to the complainant, on 6-25-21 at 10:50 AM, they attempted to check on a previous harassment complaint they filed in reference to their neighbors, but was told, Â¿ThereÂ¿s nothing we can do for you.Â¿ The complainant states that after speaking to an officer, they were told that the matter would be investigated and that they would be in contact with them in a week. After waiting for five weeks, with no contact, the complainant spoke to the officer and was told that they will contact them but is again, still waiting for assistance. The complainant states the harassment by their neighbors has been continuous since October of 2020.",06/25/2021,10:50 AM,6192,low
21-0323,2021-07-06 04:00:00+00,1900.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-17-21 at 9:00 AM, officers stormed inside of their home. The complainant states that their family member had a bench warrant and therefore, ran out the back door where they were then apprehended by police. The complainant states that while the officers were in their home, they found three handguns in plain sight but continued to search the home. The complainant states that during their search, closet locks were broken, ceiling tiles were removed and more.",06/17/2021,9:00 AM,6193,high
21-0324,2021-07-07 04:00:00+00,3500.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-24-21 at 12:05 PM, while picking up their family member in the confines of the 35th District, they asked an officer to sign their paperwork but the officer refused. When the complainant asked for another officer, the officer gave them an attitude. When the complainant requested a supervisor, the officer continued to give them attitude.",06/24/2021,12:05 PM,6194,medium
21-0325,2021-07-07 04:00:00+00,2400.0,LACK OF SERVICE,"According to the complainant, while in the confines of the 24th District, between 6-4-21 at 11:00 PM and 6-5-21 at 6:30 AM, they were assaulted. The complainant states that the offenders pulled guns on them and violently beat them. A bottle was thrown through the complainantÂ¿s window, striking their family members. The complainant states that they called 911 and showed the officers where the offenders and their guns were but the officers did nothing. The complainant states that a few minutes later they were shot at and hit in the head with two bottles. The complainant called 911 again and no one came to their aid. The complainant states that there is video of the incidents.",06/04/2021,11:00 PM,6195,high
21-0326,2021-07-08 04:00:00+00,1400.0,PHYSICAL ABUSE,"According to the complainant, on 7-1-21 at 10:00 AM, officers stopped the Uber that they were passengers in and forcefully pulled them from their vehicle. The complainant states that an officer put a gun to the middle of their back and threw them to the ground. When the complainant tried to inform the officers that their family was a police officer, the officer said, Â¿Shut the f**k up, if you want to walk again.Â¿",07/01/2021,10:00 AM,6196,high
21-0327,2021-07-08 04:00:00+00,2200.0,PHYSICAL ABUSE,"According to the complainant, on 7-4-21 at 5:00 PM, while in the confines of the 22nd District, they were passengers in a vehicle that was involved in an auto accident. The complainant states that when police arrived, they were placed in handcuffs. The complainant states that the officers called them, Â¿dumb mother f*ckersÂ¿ and continued to taunt them. One of the officers stated that they were going to charge them with hit and run. The complainant states that they later received an apology for the officersÂ¿ behavior.",07/04/2021,5:00 PM,6197,high
21-0328,2021-07-07 04:00:00+00,1900.0,LACK OF SERVICE,"According to the complainant, on 6-19-21 at 10:00 PM, while in the confines of the 19th District, they were involved in a verbal dispute with a known person over their phone. The complainant went to the 19th District to get assistance on retrieving their phone back. The complainant was advised by a supervisor to wait near the location while they attempted to send someone there to assist. When the supervisor and an officer arrived, they tried to get their phone back without success. While the officers were still on location, the person that had the phone threw it onto the street causing damage to it. The officer picked it up, gave it to the complainant and stayed on location until the complainant left safely. The complainant states that they later discovered that the report was coded as Â¿police service not needed.Â¿ The complainant spoke to the officer, who prepared a second report for her but they later found out that, not only was the first report incorrect, but that the second report was incorrect as well.",06/19/2021,10:00 PM,6198,low
21-0329,2021-07-09 04:00:00+00,1400.0,VERBAL ABUSE,"According to the complainant, on 6-26-21 at 10:17 AM, while in the confines of the 14th District, they called 911 in reference to a theft at their residence. The complainant states that the officer who arrived took their report but did not bother to fill out the form and just told them to call the DAÂ¿s office. The complainant called the DAÂ¿s office and was informed that they had been misinformed. The complainant states that when they called the district, they spoke to an officer, who said, Â¿You donÂ¿t call us, you call the detectiveÂ¿ in a rude tone of voice and then gave them a non-working detective division phone number.",06/26/2021,10:17 AM,6199,medium
21-0330,2021-07-09 04:00:00+00,800.0,LACK OF SERVICE,"According to the complainant, on 7-1-21 at 7:00 PM, while in the confines of the 8th District, they called 911 because someone had forced their way into their apartment. The complainant states that the offender was still on location when the officer arrived but they refused to arrest them, even after they explained the situation. The next day the complainant went to the district to complain about the lack of service and found that the officer had falsified the report in favor of the offender; they reported that it was a custody issue. The complainant states that a supervisor asked for the report back so that it could be changed but even after changing it, it is still wrong. The complainant further states that the supervisor tore up the original report and gave them the new one.",07/01/2021,7:00 PM,6200,low
23-0029,2023-01-23 05:00:00+00,1600.0,LACK OF SERVICE,"According to the complainant, on 01-18-23 at 7:38 PM, while in the confines of the 16th District, they were treated unprofessionally by unknown officers.",01/18/2023,7:38 PM,7138,low
21-0331,2021-07-09 04:00:00+00,600.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-4-21 at 8:35 AM, while in the confines of the 6th District, they were pulled over by an officer, who stated in their report that they had stopped the complainant for being double-parked. The officer in turn said to the complainant that they had been stopped for making an illegal U-turn in traffic. The complainant states that they felt threatened because of the officerÂ¿s rudeness and untrue statements.",05/04/2021,8:35 AM,6201,medium
