general_cap_classification,summary,label
PHYSICAL ABUSE,"they were alerted by the public via a video found on TikTok that  a male was treated unprofessionally and physically abused by an officer assigned to . The complainant states the officer is seen on the video confronting the male in an aggressive and hostile manner. The complainant states that the officer continuously followed the male, even after being asked to be left alone. The complainant additionally states that at one point the officer knocked the male down to the ground.",high
PHYSICAL ABUSE,"officers transported them to  due to a warrant that was issued by their parole officer. The complainant states that while being held for 3 days at , their rights were violated, they were not fed properly, all of their requests were ignored and that they were verbally and physically abused by officers. The complainant states that  several officers entered their cell room and assaulted them. The complainant further states that a stun gun was pointed at them followed by punches and kicks. The complainant also states that they were never taken to a hospital.",high
CIVIL RIGHTS COMPLAINT,"while in the confines of , they were pulled over by police for a traffic violation. After running their information, one of the officers told the complainant, Â¿Our computer shows that you have a revoked license to carry a firearm. Do you have a gun with you?Â¿ When the complainant responded, Â¿No,Â¿ one of the officers said, Â¿I need you to get out of the car now!Â¿ The complainant complied. An officer turned them around aggressively and patted them down. After answering many of the officers questions, the complainant told them that he would not answer any more and only talks to lawyers. The complainant was later placed in handcuffs and their vehicle searched without consent. The complainantÂ¿s passenger was ordered out of the vehicle before the officers proceeded with the search. The complainant later received a ticket and believes that this incident took place due to their race.",high
CIVIL RIGHTS COMPLAINT,"while in the confines of , they were stopped by police. The complainant states that they were picked on because of their race. The complainant states that the officers lied and believes there to be cameras in the area that could prove it.",low
LACK OF SERVICE,"while in the confines of , they noticed an individual who needed assistance and asked bike officers nearby to assist. The complainant states that the officers told them to help that individual and rode off. The complainant believes that one of the officers was a supervisor because they wore a white shirt.",low
LACK OF SERVICE,"they arrived at  to file a report in reference to their family memberÂ¿s involvement in a situation that should have been forwarded to an investigative unit. The complainant states that the officer who prepared their report did not prepare it correctly and therefore, it was never forwarded to the appropriate investigative unit.",low
LACK OF SERVICE,"while in the confines of , they were involved in an auto accident. An officer responded and took a report. The complainant states that the operator of the striking vehicle did not have a driverÂ¿s license and was in possession of a fake insurance card but the officer allowed them to leave. The complainant states that now they cannot get their vehicle fixed or recover any expenses for medical bills.",low
LACK OF SERVICE,"their family member was murdered and a homicide detective was assigned to the case. The assigned detective told the complainant and their family that they believed it was a case of mistaken identity. However, the detective would repeatedly ask if their family member was into anything. After the detective told the complainant that their family members phone was being processed as evidence, one of the complainantÂ¿s family members received a phone call from the very same phone. On one occasion, after sending the detective a text and receiving no response, the detective informed them that the reason was because there were a lot of murders that had taken place over that weekend. The complainant states that they have many issues with the detective in regards to their attitude and professionalism.",low
LACK OF SERVICE,"their family member was involved in an auto accident in the confines of . Police responded. While at the scene, the complainant noticed that the operator of the other vehicle was visibly intoxicated and therefore, requested that the officer conduct a sobriety test. The officer told the complainant that they did not see a need for a sobriety test. A few weeks later, the complainant reviewed the auto accident report and noticed several errors. The complainant states that the name, policy number and license plate number of the other vehicle involved were incorrect and the report number provided by the officer was also wrong. The complainant states that because of the errors, there was a delay dealing with the insurance company.",low
LACK OF SERVICE,"while in the confines of , they were involved in an accident. The complainant states that the officer who responded to the accident made a joke about people not knowing how to drive their cars. The complainant states that the officer showed no compassion or concern about the well-being of those involved in the accident, instead they were more concerned about checking their insurance. The complainant also states that the officer was not wearing a mask.",low
CIVIL RIGHTS COMPLAINT,"while in the confines of , they were taken into police custody and placed in the patrol wagon with seven other people. The complainant states that Covid-19 protocols were not followed; none of the individuals were wearing masks in an enclosed space for over five hours. The complainant asked for a mask and the officers laughed and told them to get Covid-19. The officers all wore masks. The complainant was transported to 8th and Race Streets, where they told investigators that that they were not making a statement without their lawyer and the investigators told them that they had no choice but to be interviewed, violating their civil rights.",low
UNPROFESSIONAL CONDUCT,"while in , they were stopped by police. The complainant states that they were involved in a road rage incident with an officer; the officer followed them for about ten miles before stopping them in an unsafe area of the highway. The complainant states that when the officer approached their vehicle, the officer looked as if they had not slept in days; they were clearly enraged and appeared to be having some sort of a breakdown. The complainant states that the officer spoke to them in an unprofessional manner and improperly issued them a ticket. When the complainant attempted to speak to the officer, the officer threw the ticket to them, before storming off and refusing to talk to them.",medium
VERBAL ABUSE,they were treated unprofessionally by an officer assigned to the Airport Unit.,medium
DEPARTMENTAL VIOLATIONS,"they were verbally abused and departmental policies were violated by an unknown officer while in the confines of . The complainant states that they were almost struck by a patrol car while riding their bicycle. The complainant additionally states that the officer, who did not have their lights on, did not stop at a stop sign and yelled an inappropriate comment at the complainant.",medium
VERBAL ABUSE,"while in the confines of , they attempted to obtain information and advocate for a rape survivor by calling the Special Victims Unit. A supervisor answered but repeatedly cut them off when they attempted to speak. The complainant states that at one point the sergeant became aggressive and said, Â¿Well, you donÂ¿t have to listen to you,Â¿ implying that the way they spoke bothered them. The complainant also states that the sergeant tried to deny the survivor access to the Special Victims Unit, until the initial report was investigated.",medium
FALSIFICATION,"while in the confines of , 911 was called because their significant other was beating on them with a gun and attempting to set the house on fire. When officers arrived, the complainant opened the window and screamed at the officers to come in and get them but the officers kept telling them to come out instead. After about 3 minutes, and seeing that their significant other was attempting to set the house on fire, the complainant jumped out of the window and ran towards the officers. The complainant screamed at the officers to go in and get their family member out. When the officers kicked the door down they encountered the complainants significant other with a gun pointed at them and screamed Â¿gun, gun,Â¿ then backed out, never making it inside. The complainant states that they continuously screamed at the officers to get their family member out but the officers refused. The complainant broke away from the officers and ran into the burning house to save their family member. The complainant further states that the officers took credit, on television, for rescuing them when they didnÂ¿t.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from an officer assigned to . The complainant states that the officer responded to an incident. The officer was inconsiderate, unprofessional and failed to perform their job duties properly. The complainant states that the officer did not care for their wellbeing.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , they received a phone call from a detective, asking that they bring their firearm to them for a shooting investigation. When the complainant arrived, they were informed that they were being detained and the detective refused to tell them why. The complainant states that at first, the detective told them they were under arrest. When the camera was turned on, they told them that if they didnÂ¿t sign a piece of paper, they would be under arrest and their kids would be taken away. The complainant gave a statement and was told they would be able to leave because they had cooperated. The complainant states the detective then said that they had to give them their phone or they would have to stay. The complainant states that they told the detective that they did not have their phone and after two hours of trying multiple ways of getting their phone to them, they said they would release them, if they promised to bring the phone to them. The complainant promised to give them the phone and was released. The complainant states that the detective came to their house later that evening and keeps calling their phone and harassing them.",high
LACK OF SERVICE,"while in the confines of , they called 911 due to people trespassing and dealing drugs. The complainant states that the responding officer told them that they were sick of them calling.",low
PHYSICAL ABUSE,"on an unspecified date, officers physically evicted them from their residence without any notice or court documentation.",high
UNPROFESSIONAL CONDUCT,"while in the confines of , four officers stopped their family member and searched them for a gun. The complainant states that the officers called them prejudice and continued to do so even after the complainant informed them of their spouseÂ¿s race. The complainant additionally states that the officers refused to provide them with their names or badge numbers.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of the 22nd, officers entered their home to perform a body search. The complainant states that the officers damaged their personal property. The complainant states that the officers intentionally stepped on a bottle of lighter fluid causing it to spill over several of their belongings and damaging them. The complainant also states that they were never provided with a copy of the search warrant.",medium
LACK OF SERVICE,"in the week of  while in the confines of , they went to the district to have a PFA served. The complainant states that they spoke with an officer, who aggressively argued with them, stating that it was already served and asked why they needed it served again. The complainant spoke to a supervisor, who also stated that it had been already served. The complainant states that when they went back to the courthouse, they were informed that the PFA had not been served.",low
LACK OF SERVICE,"while in the confines of , their family member was the victim of a hit and run. The complainant states police did not properly investigate their family memberÂ¿s accident. The complainant states that their family suffered severe injuries.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were stopped by police. The complainant states that the officers wrote Â¿RTSÂ¿ on their tickets, instead of asking them to sign the tickets.",medium
LACK OF SERVICE,"while in the confines of , they were involved in an auto accident and police were called. The complainant states that the responding officer improperly prepared the report. Over a week later, the complainant attempted to speak to the officer about the report but the officer sent another individual to inform them that they will not change the report because the complainant was at fault.",low
PHYSICAL ABUSE,"while in the confines of , police arrived at their clientÂ¿s residence with a warrant for a family member missed a court date. Officers rushed into the home and screamed at the family to sit down and shut up. The complainant states that her client only speaks Spanish and did not understand why officers were in her home. The complainant states that an officer grabbed their client aggressively by the shoulder and caused them to later seek medical attention for pain. The complainant also states that the family in the home are traumatized due to this incident.",high
LACK OF SERVICE,"while in the confines of , they were assaulted and robbed in a supermarket. The complainant states that the officer was able to locate the offenders and found their phone with their EBT card but not their credit card. The complainant states that they told the officer they wanted to press charges but the officer told them that there was not anything they could do, since they found their phone and card next to the car. The complainant then mentioned that they had been assaulted in the store and the officer told them that they had to file a private criminal complaint.",low
LACK OF SERVICE,"while in , police were called to their home because of a domestic disturbance. The offender made numerous threats towards the complainant in front of the officers. The complainant states that they asked the officers for the offenderÂ¿s information so that they could obtain a protection order but the officers said that they did not have the offenderÂ¿s information.",low
DEPARTMENTAL VIOLATIONS,"they were improperly searched by a  officer while in the confines of . The complainant was stopped by police and told to empty their pockets. The officer proceeded to search the complainant without their permission. The complainant was handcuffed, placed in the back of a patrol car and driven to another location.",medium
CIVIL RIGHTS COMPLAINT,"while in the confines of , they were pulled over by police. The complainant stated that they believe that the same officer has previously sat outside their apartment and stopped them because they of their race and hairstyle. The complainant states that the officer was very unprofessional towards them, even laughing at them when they issued a ticket.",low
VERBAL ABUSE,"while in the confines of , they called  to inquire about a video they saw online, which involved an officer. The complainant spoke to an officer who informed them that they could not provide them with any information and asked if they would like to speak to a supervisor; the complainant said, Â¿yes.Â¿ The complainant states that they then spoke with a supervisor, who also told them that they could not provide any information. The complainant states that the conversation with the supervisor became heated and that the supervisor threatened to come to their home and arrest them for disorderly conduct. The complainant requested their name and badge number, but they refused to provide it.",medium
FALSIFICATION,"while in the confines of , they stopped a person from breaking into their vehicle and called 911. The complainant states that the responding officer took their report, told them that a detective would be in touch with them and that their vehicle would be held for prints. The complainant went to the detective division and spoke to a detective, who informed them that the report does not match with what they said happened. The complainant later received an email from the detective informing them that the case was closed with no charges. The complainant states that when they received a copy of the report, they found that the officer wrote everything the offender said instead of what they said. The complainant further states that another report was made by another officer, who they feel fabricated the report, because they never spoke to the officer.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , their property was the subject of an improper search and seizure, and departmental policies were violated by unknown officers. The complainant states they were involved in a road rage incident with an unknown person. During the incident, their firearm was visible, but was never pointed at the other driver; however, the driver called police. The complainant parked their vehicle and went into their place of employment. Officers arrived and towed their vehicle without telling them. Officers got a search warrant for the vehicle and confiscated their firearm. The complainant states that they were never interviewed, not given the opportunity to give a statement and never received a property receipt.",medium
HARASSMENT,"on an unspecified date, a supervisor from , represented themselves as an agent of the Philadelphia Police Department when making derogatory statements about the complainant to their new employer. The complainant states they have previously worked under this same supervisor, during which time, they were subjected to conditions that caused them to seek employment elsewhere. The complainant states that since their resignation, the supervisor continues to harass them and abuse their authority.",high
VERBAL ABUSE,"while in the confines of , they were involved in an auto accident. When officers arrived, they refused to allow them to go to the hospital, even though they were bleeding profusely. The complainant states that at one point when they asked for help and requested transportation to the hospital, one of the officers told them that the other vehicle involved was their priority and for them to ask the medics instead. The complainant states the driver of the other vehicle was visibly intoxicated. When another officer agreed to take them, that officer asked for their information, during transportation, and never asked if they were okay. When they arrived at the hospital, the officer did not walk them in, which caused them to have a disturbance with security. After discovering that they were not mentioned in the report, they called the district and spoke to the officer that prepared it; the officer was rude.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , a detective did not conduct a proper investigation during an arrest and property was improperly confiscated.",medium
UNPROFESSIONAL CONDUCT,they were treated unprofessionally by officers assigned to .,medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they noticed an officer beeping their horn every time the light turned green. The complainant states the officer was speeding, swerving in between cars, and made a wide turn before turning their lights on and pulling the complainant over. The complainant states the officer accused them of almost hitting their car. The complainant states the officer exited their car, yelling, and Â¿got in their faceÂ¿ with spit coming out of their mouth. The complainant states that the officer called them a Â¿stupid idiot,Â¿ and made them read the side of their car while making a racist remark. The complainant also states that the officersÂ¿ body camera was off during this encounter and they refused to provide their rank and badge number.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , officers responded to a report of a burglary. The complainant states that they later discovered that the report was prepared as a verbal dispute instead of a burglary. One of the officers ripped out the alarm system as ordered to do so by their sergeant who was on location.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were stopped by police. The complainant states that the officers did not ask for their identification or registration. The complainant states that when officers ordered them to step out of their vehicle, they were searched, along with their vehicle. The complainant asked the officer why where they searching their vehicle without a warrant and the officer said it was a frisk because there was a shooting in the area.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , officers responded to a 911 call. The complainant answered the door, and informed the officers that they were not needed, and then went back inside. The complainant later heard the voices of some of their family members outside, which caused an argument between them. The complainant then went back inside the home. A few minutes later, the complainant attempted to leave, when they noticed that the officers were still there, talking to their family members. Another argument ensued; the officers laughed and did nothing. When the complainant told the officers that they felt threatened, they showed no concern. After much frustration, the complainant threw an item at a family member. The complainant states that when the officers were asked by their supervisor if they were going to arrest them, they were confused and at a loss about how things transpired and therefore had to arrest them.",medium
FALSIFICATION,"they were physically abused and falsely arrested by unknown  officers while in the confines of . They were falsely arrested and abused by officers. The complainant also states that when they went to court, an officer made untrue statements on the stand.",medium
DEPARTMENTAL VIOLATIONS,an unknown officer acted unprofessionally and misused a police vehicle while in another jurisdiction. The complainant saw a marked Philadelphia Police vehicle at a festivity in another jurisdiction. The complainant alleged that the operator of the vehicle repeatedly made unprofessional comments via the vehicle loud speaker.,medium
UNPROFESSIONAL CONDUCT,"while in the confines of , their family member, while outside of their car, was struck by another car, also causing damage to both vehicles. The complainant states that the striking vehicle fled the scene, after pausing for a minute. The complainant states that an officer arrived and took a report but did not show any interest in any of the evidence or witnesses information that was provided. Later that day, the complainant received information about the striking vehicle so they called the district to pass the information along but found that the district control number they were provided with was incorrect. The officer was eventually able to find the correct report. The complainant also states that they were treated unprofessionally by several other officers and a supervisor; they have been hung up on and treated rudely.",medium
DEPARTMENTAL VIOLATIONS,"they parked their vehicle within the confines of . The complainant states that their family member was sitting in the vehicle, while they spoke to an officer a few feet away. The complainant states that another officer did not like the question that the complainant asked of an officer and proceeded to run the complainants license plate. The same officer then asked the complainant to move their car and told them that someone would come out to speak to them, but after 10 minutes of waiting, the complainant left. The complainant states that they were never told about or issued a ticket while there but later received a notice from the City of Philadelphia for a parking violation.",medium
LACK OF SERVICE,"while in the confines of , they were struck by another vehicle. The complainant believes that the other driver was impaired and officers did nothing. The complainant states that they received a district control number but as of  there has not been an auto accident report filed yet.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were arrested and their identification card was not returned to them.",medium
LACK OF SERVICE,"while in the confines of , they called 911 in reference to their neighbor threatening and harassing them, but no one answered. Therefore, the complainant called a district but they told her, Â¿sorry keep trying.Â¿ The complainant further states that she has attempted to contact Officer Willis by phone and email several times, but the officer ignores her requests for help.",low
LACK OF SERVICE,"while in the confines of , they reported an auto accident to police.  the complainant went to the district to obtain their report number, but discovered that there was not record of their report on file.",low
UNPROFESSIONAL CONDUCT,"while in the confines of , they went to retrieve their stolen vehicle and recovered evidence inside the car. The complainant states that they attempted to report the evidence to police several times but was told to just discard it. The complainant states that an officer was insensitive and smirked at them as they tried to make their report.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were assaulted at their job. The complainant called 911 and responding officers spoke to both parties involved. Later, the complainant was handcuffed and transported to , where officers exited their vehicles and had a brief discussion. One of the officers returned to the vehicle and informed the complainant that he was being released and transported back to his job site. When they arrived at the job site, the officer took the handcuffs off, provided the complainant with a DC number and left. The complainant later, went to , where they were told that their report was being handled by detectives but when they contacted the detective division, they discovered that they did not have their report and therefore, would have to file another one. When the complainant arrived at , they spoke to a supervisor about the assault and arrest. The supervisor informed the complainant that their story did not match the report that they had on file. At that time, another officer prepared a report for the complainant.",medium
UNPROFESSIONAL CONDUCT,"they did not receive proper service from an unknown 911 call taker while in the confines of . The complainant called 911 to report a vandalism at the work place. When the call taker asked the complainant for the location, the complainant told them the business name and the approximately location. The call taker told them that they could not help them without an address. The complainant states that during the phone conversation, the call taker said, Â¿I donÂ¿t care who you call. You can call the mayor.Â¿",medium
LACK OF SERVICE,"while in the confines of , a family member was struck and killed, as they were riding their motorcycle. The complainant states that the officer assigned to the accident did not file a complete and accurate report. The report does not have the witnessesÂ¿ statements and the report does not document the accident as a hit and run, resulting in death. The complainant states that the officer told them that it was not a hit and run because the driver returned to the scene thirty minutes later.",low
UNPROFESSIONAL CONDUCT,"while in the confines of , they were crying and barely had any clothes on. The complainant states that as they were attempting to explain what happened to the officer, the officer told them to stop talking over them and they had words. The complainant further states that they were clearly under distress and the officer left without helping them.",medium
LACK OF SERVICE,"they did not receive proper service from unknown officers while in the confines of . Officers responded to their home but failed to prepare a proper report. The officers also listed the complainant as their deceased spouse, not them. The complainant states that the report stated that they had a verbal dispute with their neighbor; however, they never spoke to their neighbor.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , money was taken by unknown officers. and they were arrested and their money was taken and not returned.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , an officer violated police policy while driving a marked police vehicle in a reckless manner. an officer was driving reckless and did not yield to a stop sign, and also did not stop for a red light.",medium
PHYSICAL ABUSE,"while in the confines of , they were physically abused by a  officer, who threatened them with a Conducted Energy Weapon (CEW). Officers responded after they knocked on a window and an air conditioner fell into the home. The officer spoke to them and then to the other party involved. The officer pulled out their Conducted Energy Weapon (CEW) and told them to put their hands behind their back.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a  sergeant and departmental policies were violated by unknown  officers. They were arrested by a sergeant. The complainant states that the sergeant failed to handle the situation correctly. The complainant also states that officers on location tampered with their body cameras.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , unknown officers violated departmental policies. A tow truck arrived to repossess their vehicle. Officers arrived and helped to assist the repossession. The complainant states that one officer jumped into the driver seat of their vehicle and told them to take it away.",medium
HARASSMENT,"while in the confines of , they were intimidated by an officer in .",high
LACK OF SERVICE,they did not receive proper service from a detective assigned to Northeast Detective Division and unknown officers. The complainant made a report at . The detective was assigned but failed to conduct an investigation. The detective was transferred and their case was reassigned. The complainant states they have not heard anything about their case or who is assigned.,low
LACK OF SERVICE,they did not receive proper service from a detective assigned to Northwest Detective Division. The complainant made a report at . The detective was assigned but failed to conduct an investigation.,low
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a  officer. They were involved in an auto accident. The officer responded and failed to file an accurate police report.",low
DOMESTIC,"their child was a victim of a domestic assault by their childÂ¿s significant other, an off-duty,  officer. Their child was beat up by the officer. The complainant states that their child had fingerprints around their neck. The complainant states that their child lives with the officer and they are afraid for their childÂ¿s life because of the officerÂ¿s anger issues.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , departmental polices were violated by an officer assigned to the Traffic District and they did not receive proper service from a sergeant assigned to the Traffic District. The officer was operating a police vehicle in an unsafe manner. The complainant began to record the officer and told them that they would talk to their supervisor. The officer then pulled the complainant over. The complainant called 911 to request a supervisor. The sergeant responded, refused to view the video and told the complainant to sit there for a few minutes because they will be receiving tickets.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were falsely arrested and are missing United States Currency. They called 911 to respond to their home to remove their partner after a domestic incident. The complainant states they were arrested. The complainant states that officers took United States Currency from them and it was not returned.",medium
PHYSICAL ABUSE,"while in the confines of , they were physically abused by a  officer. They were pushed by an officer, which caused them to hit their back onto something. The complainant attempted to speak to a supervisor. The complainant states they asked the officers for help, but no one helped them.",high
UNPROFESSIONAL CONDUCT,"while in the confines of , they were verbally abused by an  officer and did not receive proper service from an  officer. They were pulled over by police. The officer approached and used profanities towards them. Another officer wrote the complainant tickets and proceeded to throw it at them. The officer never asked the complainant to sign the tickets.",medium
PHYSICAL ABUSE,they were physically abused by officers assigned to the Airport Unit. The complainant states that officers utilized excessive force while taking them into custody and transporting them to a hospital.,high
PHYSICAL ABUSE,they were physically abused by officers assigned to the Airport Unit. The complainant states that officers utilized excessive force while taking them into custody and transporting them to a hospital.,high
HARASSMENT,"beginning in 2021, while in the confines of , they were harassed by an off-duty sergeant assigned to the Canine Unit. The sergeant has harassed them by sending naked pictures of them to another person, who was identified. The complainant states that the detective assigned to the case is not taking them seriously. The complainant also states that the sergeant has lied to their detective about their case.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from  officers and an investigator at the Special Victims Unit. They made a police report in reference to a burglary and a sexual assault.",low
VERBAL ABUSE,"while in the confines of , they state that an officer cursed at them and refused to take their vandalism report.",medium
NON-INVESTIGATORY INCIDENT,an off-duty  officer violated the social media policy. The officer made an inappropriate statement via group chat.,low
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were harassed by a  officer. They were arrested by the officer. The complainant states that the officer had personal relationship with their ex-significant other and should not have been the responding officer.",medium
LACK OF SERVICE,"while in the confines of , they called 911 four times, in reference to someone breaking into their home. The complainant states that during one of the 911 calls the dispatcher said they would send a supervisor, however, no supervisor showed up.",low
LACK OF SERVICE,"while in the confines of , they called 911 to report that their key had been stolen and the individual was threatening their life. The complainant states that when they received a copy of the report, it did not contain anything they said nor did it accurately state what had occurred.",low
PHYSICAL ABUSE,"while in the confines of , they were physically abused by a sergeant assigned to the Canine Unit. The sergeant used excessive force after they were placed in handcuffs.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from an  officer. The officer responded to a domestic incident. The complainant states that the officer failed to arrest their ex-domestic partner because they were in their fire department uniform.",low
LACK OF SERVICE,they have been waiting a year for an outcome to their family memberÂ¿s murder. The complainant states that they have called five times this past year and left messages for the assigned investigators but they have not responded to them.,low
DEPARTMENTAL VIOLATIONS,"while in the confines of , they have been harassed by an officer for the past year. they were improperly stopped by the same officer and issued several tickets.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were improperly stopped and departmental policies were violated by  officers. They were pulled over by police and not given a reason for the stop. An officer reached into their car, told them that their license was suspended and asked them if they had a firearm on them.",medium
LACK OF SERVICE,"while in the confines of , they called 911 because an unknown individual was attempting to break into their neighborÂ¿s home. The complainant states officers did not respond to their 911 call.",low
LACK OF SERVICE,"while in the confines of , they did not receive proper service in reference to their property being stolen. The complainant also states that when they went to the district, they were refused a complainant against police form.",low
DOMESTIC,"while in the confines of , they alleged domestic threats by their childÂ¿s parent, an off-duty  officer. The officer has threatened their employment and has threatened to shoot them or themselves. The complainant states this is an on-going domestic incident.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , an improper search was conducted by a detective assigned to Northwest Detectives and an officer assigned to , while in off-duty status. Officers attempted to serve a warrant. The off-duty detective and off-duty officer were on location, searched the vehicle and removed items from the vehicle.",medium
PHYSICAL ABUSE,"while in the confines of , they were physically abused by a  officer. The officer gripped their arm causing pain. The complainant states that they suffered a bruised arm.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from an unknown 2nd officer. Their vehicle was recovered after being reported stolen. The complainant states that they were never contacted about the recovery and now has incurred storage fees.",low
VERBAL ABUSE,"they were verbally abused and did not receive proper service from an unknown 911 call taker.They called 911 for service; nevertheless, the call taker was rude and dismissive about their concern.",medium
VERBAL ABUSE,"they were verbally abused by an unknown officer while in the confines of .The complainant states they needed to move boxes into their car from their place of business, butcones were blocking the street. Complainantstates they asked one of the workers in the area if it was okay to move the cones and they were told yes.Complainantstatesthis iswhen theyencountered theunknown officer, who was yelling and screaming obscenities in the complaints face.",medium
HARASSMENT,"while in the confines of the Airport Unit, they were treated unprofessionally and was harassed by two Airport Unit officers. An officer touched them in an inappropriate manner. The complainant states another officer has approached them and asked them personal questions. The complainant states that the officers make them feel uncomfortable",high
VERBAL ABUSE,"while in the confines of , they were verbally abused by a  officer.Officers responded to a disturbance, and the officer told the complainant to stop calling the police and said, Â¿Cut it the f*ck out.Â¿The officer failed to take any police action.",medium
VERBAL ABUSE,they were verbally abused and did not receive proper service by an unknown 911 call taker. A 911 call taker was rude and rushed their answers when they called for an illegal parker. The complainant states that no officer was ever dispatched.,medium
LACK OF SERVICE,"while in the confines of , they called police to their residence, after being assaulted by their neighbors. The complainant states that when they attempted to get a copy of their report, they were told that there was no report.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , a family member arrived at their residence along with a police officer. The complainant states that the officer told them that they had an emergency custody order to remove their family members from their home and give them to their other family member. The complainant was not allowed to see the order and later found out that there was no such order in place.",medium
LACK OF SERVICE,"while in the confines of , they did not receive proper service from unknown officers. They were involved in an auto accident with injuries. An officer never arrived at the scene, but did take a report at the emergency room. The report was assigned to the Accident Investigation Division, but no one ever followed up with the complainant.",low
LACK OF SERVICE,"while in the confines of , a detective did not accurately take their statement, in reference to their asking for a protection from abuse order against their significant other. The complainant states that due to the detectiveÂ¿s inaccurate report, their significant other was falsely arrested.",low
PHYSICAL ABUSE,"while in the confines of , they were improperly stopped by police. When the officer approached the complainantÂ¿s vehicle, they had their weapon raised towards them and their family memberÂ¿s face.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from an unknown officer. Officers responded to a domestic incident. The complainant states that an officer failed to prepare a proper report and make an arrest.",low
UNPROFESSIONAL CONDUCT,"while in the confines of , an officer violently approached them and took photos of their vehicle. The complainant states that the officer cursed at them and told them to move their vehicle. The complainant believes that the incident was racially motivated.",medium
LACK OF SERVICE,"while in the confines of , they called 911 because contractors had blocked the sidewalk and were acting in an unsafe manner. The complainant states that the responding officer refused to enforce the law, allowing the contractors to continue to throw debris on their property.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , their vehicle was improperly searched by an unknown officer. An officer opened their driverÂ¿s door and went inside of their vehicle without permission.",medium
PHYSICAL ABUSE,they were physically abused by officers assigned to .,high
UNPROFESSIONAL CONDUCT,"while in the confines of , police arrived at their residence. The supervisor on location was combative with them and accused them of sexually harassing their tenants. The complainant further states that the supervisor told their tenants to change the locks and to lock them out of their own property.",medium
HARASSMENT,"while in the confines of , they were harassed by an off-duty  officer. An officer left a written note on their vehicle that was inappropriate.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , they did not receive proper service from an unknown detective and was improperly arrested by an unknown officer. They were accused of violating a protection from abuse order. The complainant turned themselves into detectives and officers. At that time, they brought paper work to be served to their childÂ¿s other parent; however, they never served it.",medium
PHYSICAL ABUSE,"while in the confines of , they did not receive proper service and were physically and verbally abused by an unknown officer.Officers responded to a domestic.The complainant states that one of the officers made inappropriate comments, pushed them and refused to give their name and badge number when asked.The officer also refused to allow the complainant to get their medication,walker,and money.",high
PHYSICAL ABUSE,"while in the confines of , their child was physically abused by a  officer. Officers arrived for a landlord tenant issue. An officer grabbed the complainantÂ¿s child, punched them and put them in a headlock. The officer put their knee in their childÂ¿s chest.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from an unknown officer.The complainant was involved in an auto accident, and states the officer spoke over them and refused to listen to their side of the story.",low
LACK OF SERVICE,"According to the complainants-22, while in the confines of , they did not receive proper service from a detective assigned to Northeast Detective Division. They were victims of a fraud and burglary. The complainants states that the detective was assigned and failed to properly investigate the incidents.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , they did not receive proper service from an unknown officer who also failed to provide medical assistance. They were a victim of an assault. An officer was on location and failed to document the assault and provide medical assistance.",medium
